detectorId,detectorLabel,profile,label,distanceM,environment,ambientRms,trials,detected,correctTop1,detectionRate,top1Accuracy,accuracyWhenDetected,meanConfidence,classificationMethod
dsp-v1,FFT / harmonic DSP,camera,Camera multirotor,25,quiet,0.02,15,15,13,1,0.8667,0.8667,1,dsp
ml-onnx-v1,Feature Conv ML,camera,Camera multirotor,25,quiet,0.02,15,15,13,1,0.8667,0.8667,0.8296,ml-detection+dsp-type
dsp-v1,FFT / harmonic DSP,camera,Camera multirotor,25,urban,0.05,15,15,14,1,0.9333,0.9333,0.999,dsp
ml-onnx-v1,Feature Conv ML,camera,Camera multirotor,25,urban,0.05,15,15,14,1,0.9333,0.9333,0.6195,ml-detection+dsp-type
dsp-v1,FFT / harmonic DSP,camera,Camera multirotor,25,loud-structured,0.1,15,15,14,1,0.9333,0.9333,0.9274,dsp
ml-onnx-v1,Feature Conv ML,camera,Camera multirotor,25,loud-structured,0.1,15,12,11,0.8,0.7333,0.9167,0.5898,ml-detection+dsp-type
dsp-v1,FFT / harmonic DSP,camera,Camera multirotor,50,quiet,0.02,15,15,14,1,0.9333,0.9333,0.9991,dsp
ml-onnx-v1,Feature Conv ML,camera,Camera multirotor,50,quiet,0.02,15,15,14,1,0.9333,0.9333,0.8523,ml-detection+dsp-type
dsp-v1,FFT / harmonic DSP,camera,Camera multirotor,50,urban,0.05,15,15,15,1,1,1,0.9251,dsp
ml-onnx-v1,Feature Conv ML,camera,Camera multirotor,50,urban,0.05,15,15,15,1,1,1,0.9202,ml-detection+dsp-type
dsp-v1,FFT / harmonic DSP,camera,Camera multirotor,50,loud-structured,0.1,15,15,14,1,0.9333,0.9333,0.9648,dsp
ml-onnx-v1,Feature Conv ML,camera,Camera multirotor,50,loud-structured,0.1,15,15,14,1,0.9333,0.9333,0.7493,ml-detection+dsp-type
dsp-v1,FFT / harmonic DSP,camera,Camera multirotor,100,quiet,0.02,15,15,15,1,1,1,0.9884,dsp
ml-onnx-v1,Feature Conv ML,camera,Camera multirotor,100,quiet,0.02,15,15,15,1,1,1,0.9447,ml-detection+dsp-type
dsp-v1,FFT / harmonic DSP,camera,Camera multirotor,100,urban,0.05,15,15,15,1,1,1,0.8828,dsp
ml-onnx-v1,Feature Conv ML,camera,Camera multirotor,100,urban,0.05,15,15,15,1,1,1,0.988,ml-detection+dsp-type
dsp-v1,FFT / harmonic DSP,camera,Camera multirotor,100,loud-structured,0.1,15,15,15,1,1,1,0.9695,dsp
ml-onnx-v1,Feature Conv ML,camera,Camera multirotor,100,loud-structured,0.1,15,15,15,1,1,1,0.8148,ml-detection+dsp-type
dsp-v1,FFT / harmonic DSP,camera,Camera multirotor,200,quiet,0.02,15,15,12,1,0.8,0.8,0.8658,dsp
