id,detectorId,truth,detected,probability,environment,distanceM,sourceLabel,license,failureKind
dsp-v1-negative-quiet-35,dsp-v1,false,true,0.9999999999990293,quiet,,vacuum,Projektgenererad,false-positive
dsp-v1-negative-quiet-29,dsp-v1,false,true,0.9999999999986086,quiet,,vacuum,Projektgenererad,false-positive
dsp-v1-negative-quiet-47,dsp-v1,false,true,0.9999999999981984,quiet,,vacuum,Projektgenererad,false-positive
dsp-v1-negative-quiet-43,dsp-v1,false,true,0.9999999999981959,quiet,,engine,Projektgenererad,false-positive
dsp-v1-negative-quiet-1,dsp-v1,false,true,0.9999999999980788,quiet,,engine,Projektgenererad,false-positive
dsp-v1-negative-quiet-41,dsp-v1,false,true,0.9999999999978175,quiet,,vacuum,Projektgenererad,false-positive
dsp-v1-negative-quiet-52,dsp-v1,false,true,0.999999999997575,quiet,,lawn-mower,Projektgenererad,false-positive
dsp-v1-negative-quiet-53,dsp-v1,false,true,0.9999999999964473,quiet,,vacuum,Projektgenererad,false-positive
dsp-v1-negative-quiet-31,dsp-v1,false,true,0.9999999999959336,quiet,,engine,Projektgenererad,false-positive
dsp-v1-negative-quiet-23,dsp-v1,false,true,0.999999999995594,quiet,,vacuum,Projektgenererad,false-positive
dsp-v1-negative-quiet-46,dsp-v1,false,true,0.9999999999955415,quiet,,lawn-mower,Projektgenererad,false-positive
dsp-v1-negative-quiet-49,dsp-v1,false,true,0.9999999999950867,quiet,,engine,Projektgenererad,false-positive
dsp-v1-negative-quiet-5,dsp-v1,false,true,0.9999999999931619,quiet,,vacuum,Projektgenererad,false-positive
dsp-v1-negative-quiet-13,dsp-v1,false,true,0.9999999999931076,quiet,,engine,Projektgenererad,false-positive
dsp-v1-negative-quiet-22,dsp-v1,false,true,0.9999999999880187,quiet,,lawn-mower,Projektgenererad,false-positive
dsp-v1-negative-quiet-34,dsp-v1,false,true,0.9999999999839041,quiet,,lawn-mower,Projektgenererad,false-positive
dsp-v1-negative-quiet-28,dsp-v1,false,true,0.9999999999787225,quiet,,lawn-mower,Projektgenererad,false-positive
dsp-v1-negative-quiet-16,dsp-v1,false,true,0.9999999999686737,quiet,,lawn-mower,Projektgenererad,false-positive
dsp-v1-negative-quiet-4,dsp-v1,false,true,0.999999999964405,quiet,,lawn-mower,Projektgenererad,false-positive
dsp-v1-negative-quiet-40,dsp-v1,false,true,0.9999999999469446,quiet,,lawn-mower,Projektgenererad,false-positive
dsp-v1-negative-quiet-17,dsp-v1,false,true,0.9999999999426139,quiet,,vacuum,Projektgenererad,false-positive
dsp-v1-negative-quiet-58,dsp-v1,false,true,0.999999999935074,quiet,,lawn-mower,Projektgenererad,false-positive
dsp-v1-negative-quiet-6,dsp-v1,false,true,0.9999999999315823,quiet,,fan,Projektgenererad,false-positive
dsp-v1-negative-quiet-7,dsp-v1,false,true,0.9999999998823996,quiet,,engine,Projektgenererad,false-positive
dsp-v1-negative-quiet-12,dsp-v1,false,true,0.9999999997598971,quiet,,fan,Projektgenererad,false-positive
dsp-v1-negative-quiet-24,dsp-v1,false,true,0.9999999997598129,quiet,,fan,Projektgenererad,false-positive
dsp-v1-negative-quiet-59,dsp-v1,false,true,0.9999999997214158,quiet,,vacuum,Projektgenererad,false-positive
dsp-v1-negative-quiet-0,dsp-v1,false,true,0.999999998925665,quiet,,fan,Projektgenererad,false-positive
dsp-v1-negative-quiet-37,dsp-v1,false,true,0.9999999988247197,quiet,,engine,Projektgenererad,false-positive
dsp-v1-negative-quiet-55,dsp-v1,false,true,0.9999999977049663,quiet,,engine,Projektgenererad,false-positive
dsp-v1-negative-quiet-25,dsp-v1,false,true,0.9999999974551443,quiet,,engine,Projektgenererad,false-positive
dsp-v1-negative-quiet-10,dsp-v1,false,true,0.999999996645838,quiet,,lawn-mower,Projektgenererad,false-positive
dsp-v1-negative-urban-29,dsp-v1,false,true,0.9999999966410834,urban,,vacuum,Projektgenererad,false-positive
dsp-v1-negative-quiet-54,dsp-v1,false,true,0.9999999952524156,quiet,,fan,Projektgenererad,false-positive
dsp-v1-negative-quiet-18,dsp-v1,false,true,0.9999999938381126,quiet,,fan,Projektgenererad,false-positive
dsp-v1-negative-quiet-19,dsp-v1,false,true,0.9999999895210875,quiet,,engine,Projektgenererad,false-positive
dsp-v1-negative-quiet-11,dsp-v1,false,true,0.9999999891198148,quiet,,vacuum,Projektgenererad,false-positive
dsp-v1-negative-urban-24,dsp-v1,false,true,0.9999999876325193,urban,,fan,Projektgenererad,false-positive
dsp-v1-negative-urban-53,dsp-v1,false,true,0.9999999874799819,urban,,vacuum,Projektgenererad,false-positive
dsp-v1-negative-quiet-42,dsp-v1,false,true,0.9999999861443526,quiet,,fan,Projektgenererad,false-positive
