detectorId,phoneId,phoneLabel,roomId,roomLabel,trialsPerClass,truePositive,falsePositive,trueNegative,falseNegative,precision,recall,falsePositiveRate,f1,accuracy,meanConfidence
dsp-v1,flagship,Flagship phone,desk,Desk · 1.5 m,20,20,20,0,0,0.5,1,1,0.6667,0.5,0.949
ml-onnx-v1,flagship,Flagship phone,desk,Desk · 1.5 m,20,20,5,15,0,0.8,1,0.25,0.8889,0.875,0.5696
crnn-pretrained-v1,flagship,Flagship phone,desk,Desk · 1.5 m,20,3,3,17,17,0.5,0.15,0.15,0.2308,0.5,0.197
dsp-v1,flagship,Flagship phone,living-room,Living room · 4 m,20,20,20,0,0,0.5,1,1,0.6667,0.5,0.9422
ml-onnx-v1,flagship,Flagship phone,living-room,Living room · 4 m,20,20,4,16,0,0.8333,1,0.2,0.9091,0.9,0.5924
crnn-pretrained-v1,flagship,Flagship phone,living-room,Living room · 4 m,20,6,5,15,14,0.5455,0.3,0.25,0.3871,0.525,0.2852
dsp-v1,flagship,Flagship phone,office,Office · 8 m,20,20,20,0,0,0.5,1,1,0.6667,0.5,0.9281
ml-onnx-v1,flagship,Flagship phone,office,Office · 8 m,20,20,19,1,0,0.5128,1,0.95,0.678,0.525,0.8705
crnn-pretrained-v1,flagship,Flagship phone,office,Office · 8 m,20,10,8,12,10,0.5556,0.5,0.4,0.5263,0.55,0.4633
dsp-v1,flagship,Flagship phone,traffic,Traffic · 4 m,20,20,20,0,0,0.5,1,1,0.6667,0.5,0.933
ml-onnx-v1,flagship,Flagship phone,traffic,Traffic · 4 m,20,19,17,3,1,0.5278,0.95,0.85,0.6786,0.55,0.7449
crnn-pretrained-v1,flagship,Flagship phone,traffic,Traffic · 4 m,20,3,1,19,17,0.75,0.15,0.05,0.25,0.55,0.1638
dsp-v1,budget,Budget phone,desk,Desk · 1.5 m,20,20,19,1,0,0.5128,1,0.95,0.678,0.525,0.9341
ml-onnx-v1,budget,Budget phone,desk,Desk · 1.5 m,20,20,3,17,0,0.8696,1,0.15,0.9302,0.925,0.5405
crnn-pretrained-v1,budget,Budget phone,desk,Desk · 1.5 m,20,6,3,17,14,0.6667,0.3,0.15,0.4138,0.575,0.2466
dsp-v1,budget,Budget phone,living-room,Living room · 4 m,20,20,20,0,0,0.5,1,1,0.6667,0.5,0.934
ml-onnx-v1,budget,Budget phone,living-room,Living room · 4 m,20,20,7,13,0,0.7407,1,0.35,0.8511,0.825,0.6085
crnn-pretrained-v1,budget,Budget phone,living-room,Living room · 4 m,20,7,8,12,13,0.4667,0.35,0.4,0.4,0.475,0.3826
dsp-v1,budget,Budget phone,office,Office · 8 m,20,20,20,0,0,0.5,1,1,0.6667,0.5,0.9168
ml-onnx-v1,budget,Budget phone,office,Office · 8 m,20,20,19,1,0,0.5128,1,0.95,0.678,0.525,0.8782
crnn-pretrained-v1,budget,Budget phone,office,Office · 8 m,20,11,8,12,9,0.5789,0.55,0.4,0.5641,0.575,0.5349
dsp-v1,budget,Budget phone,traffic,Traffic · 4 m,20,20,20,0,0,0.5,1,1,0.6667,0.5,0.9254
ml-onnx-v1,budget,Budget phone,traffic,Traffic · 4 m,20,20,18,2,0,0.5263,1,0.9,0.6897,0.55,0.8248
crnn-pretrained-v1,budget,Budget phone,traffic,Traffic · 4 m,20,1,0,20,19,1,0.05,0,0.0952,0.525,0.0433
dsp-v1,processed,Processed phone,desk,Desk · 1.5 m,20,20,18,2,0,0.5263,1,0.9,0.6897,0.55,0.9303
ml-onnx-v1,processed,Processed phone,desk,Desk · 1.5 m,20,20,0,20,0,1,1,0,1,1,0.4973
crnn-pretrained-v1,processed,Processed phone,desk,Desk · 1.5 m,20,1,7,13,19,0.125,0.05,0.35,0.0714,0.35,0.2143
dsp-v1,processed,Processed phone,living-room,Living room · 4 m,20,20,20,0,0,0.5,1,1,0.6667,0.5,0.9146
ml-onnx-v1,processed,Processed phone,living-room,Living room · 4 m,20,20,7,13,0,0.7407,1,0.35,0.8511,0.825,0.6175
crnn-pretrained-v1,processed,Processed phone,living-room,Living room · 4 m,20,6,5,15,14,0.5455,0.3,0.25,0.3871,0.525,0.2855
dsp-v1,processed,Processed phone,office,Office · 8 m,20,20,20,0,0,0.5,1,1,0.6667,0.5,0.907
ml-onnx-v1,processed,Processed phone,office,Office · 8 m,20,20,19,1,0,0.5128,1,0.95,0.678,0.525,0.8911
crnn-pretrained-v1,processed,Processed phone,office,Office · 8 m,20,10,6,14,10,0.625,0.5,0.3,0.5556,0.6,0.4331
dsp-v1,processed,Processed phone,traffic,Traffic · 4 m,20,20,20,0,0,0.5,1,1,0.6667,0.5,0.9098
ml-onnx-v1,processed,Processed phone,traffic,Traffic · 4 m,20,20,19,1,0,0.5128,1,0.95,0.678,0.525,0.8251
crnn-pretrained-v1,processed,Processed phone,traffic,Traffic · 4 m,20,0,0,20,20,0,0,0,0,0.5,0.0147
